t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
0.000000000000000000e+00,1.199999999999999956e-01,-8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.745329251994329478e-01,1.745329251994329478e-01,2.500000000000000139e-02,-1.499999999999999944e-02
5.000000000000000278e-02,1.185164657927713638e-01,-7.850401771334429568e-02,-5.921799583792809046e-02,5.971488381807132234e-02,-1.745329251994329478e-01,1.745329251994329478e-01,2.500000000000000139e-02,-1.499999999999999944e-02
1.000000000000000056e-01,1.140904605515389164e-01,-7.404087462620367877e-02,-1.177003739173552305e-01,1.186879774360214135e-01,-1.745329251994329478e-01,1.745329251994329478e-01,2.500000000000000139e-02,-1.499999999999999944e-02
1.500000000000000222e-01,1.067585362385205516e-01,-6.664742940200098220e-02,-1.754562722288358911e-01,1.769284955197059916e-01,-1.745329251994329478e-01,1.381756954206902477e-01,2.500000000000000139e-02,-1.499999999999999944e-02
2.000000000000000111e-01,9.655679076016723816e-02,-5.667332476702217209e-02,-2.324947152489828250e-01,2.219419106947708720e-01,-1.745329251994329478e-01,-4.194904002627586337e-02,2.500000000000000139e-02,-1.499999999999999944e-02
2.500000000000000000e-01,8.352087360753437939e-02,-4.602976528651084309e-02,-2.888246153505598657e-01,2.038381851178933390e-01,-2.350157506619854342e-02,-8.665664517402071887e-02,2.500000000000000139e-02,-1.499999999999999944e-02
3.000000000000000444e-01,6.899567110727466979e-02,-3.667488400628270140e-02,-2.921765014716761200e-01,1.704266743231100945e-01,1.000875921105812694e-01,-8.692203810790977148e-02,2.500000000000000139e-02,-1.499999999999999944e-02
3.500000000000000333e-01,5.538045402298764908e-02,-2.898248672674246657e-02,-2.525148115099554169e-01,1.373381521884632916e-01,1.204702038333091973e-01,-7.461799528629012301e-02,2.500000000000000139e-02,-1.499999999999999944e-02
4.000000000000000222e-01,4.391268388646315385e-02,-2.282724630712844663e-02,-2.062922921359915396e-01,1.089306476774377641e-01,1.090537959384133004e-01,-6.046598568534794493e-02,2.500000000000000139e-02,-1.499999999999999944e-02
4.500000000000000111e-01,3.464273059234954100e-02,-1.796038155722757060e-02,-1.645927148931809192e-01,8.579214816147283373e-02,9.015559580771903558e-02,-4.776612483242326235e-02,2.500000000000000139e-02,-1.499999999999999944e-02
5.000000000000000000e-01,2.728075819255199042e-02,-1.413262881076035940e-02,-1.299583370039676389e-01,6.735637007460976156e-02,7.176247121492351777e-02,-3.724804117998033182e-02,2.500000000000000139e-02,-1.499999999999999944e-02
