t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
0.000000000000000000e+00,1.199999999999999956e-01,-8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.745329251994329478e-01,1.745329251994329478e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.184853455942036643e-01,-7.848534559420367041e-02,-6.046021578828616322e-02,6.046021578828616322e-02,-1.745329251994329478e-01,1.745329251994329478e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.139664957382008070e-01,-7.396649573820081314e-02,-1.201693827140206949e-01,1.201693827140206949e-01,-1.745329251994329478e-01,1.745329251994329478e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,1.064807691472216267e-01,-6.648076914722163278e-02,-1.791368304560111424e-01,1.791368304560111424e-01,-1.745329251994329478e-01,1.319182254043863578e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.606502095597053981e-02,-5.643234691293620708e-02,-2.373717727979336167e-01,2.227092817783362655e-01,-1.745329251994329478e-01,-4.558685156019892659e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,8.275564847731592399e-02,-4.576368614381114142e-02,-2.948833090680051949e-01,2.040759689003012745e-01,-3.871849271774863155e-03,-8.931398839833654124e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,6.806947899204589258e-02,-3.640140668819925873e-02,-2.925682933557834375e-01,1.704851910340411114e-01,1.083653166208448093e-01,-8.923870663773542100e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,5.447548485777294058e-02,-2.870755857552156898e-02,-2.512774956445104624e-01,1.373377914659674182e-01,1.249449118567577677e-01,-7.681494869537655590e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,4.307681260183603839e-02,-2.255277208190992200e-02,-2.047662942068281811e-01,1.089128876089540260e-01,1.123322989826662788e-01,-6.262050507754518547e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,3.387998597709941662e-02,-1.768687500405425120e-02,-1.631933821579646671e-01,8.577120797348466996e-02,9.313202744289283963e-02,-4.990581616918141061e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.658227764984147368e-02,-1.386013193466962765e-02,-1.287866326056453514e-01,6.733692007469505025e-02,7.473285424742800997e-02,-3.938298475544946275e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,2.083427891094375914e-02,-1.085767245888612578e-02,-1.011908090074072064e-01,5.279176176929651493e-02,5.913565419491390029e-02,-3.094471982095066409e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000888e-01,1.632174218638626079e-02,-8.504386971597787531e-03,-7.935614944871109688e-02,4.136346698361082624e-02,4.651124225263156275e-02,-2.426846897734011299e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,1.278418074797230651e-02,-6.660748100666757238e-03,-6.218208785455892756e-02,3.240076040518289485e-02,3.648736529946859652e-02,-1.901708067493528692e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,1.001261969228577249e-02,-5.216660644914892890e-03,-4.870842487419580619e-02,2.537737008098022232e-02,2.859304468802614796e-02,-1.489691660759744074e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,7.841726803173951210e-03,-4.085623879427833539e-03,-3.814928917967087135e-02,1.987556278814832378e-02,2.239722472679089860e-02,-1.166779718345553607e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,6.141478993052789000e-03,-3.199801655759804912e-03,-2.987785560564822432e-02,1.556630389962067838e-02,1.754130782944909872e-02,-9.138161830117636636e-03,0.000000000000000000e+00,0.000000000000000000e+00
