t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
0.000000000000000000e+00,1.199999999999999956e-01,-8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.745329251994329478e-01,1.745329251994329478e-01,2.500000000000000139e-02,-1.499999999999999944e-02
5.000000000000000278e-02,1.185164657927713638e-01,-7.850401771334429568e-02,-5.921799583792809046e-02,5.971488381807132234e-02,-1.745323177932012748e-01,1.745329251994193198e-01,2.500000000000000139e-02,-1.499999999999999944e-02
1.000000000000000056e-01,1.140904657691781537e-01,-7.404087462620378979e-02,-1.177001656456905243e-01,1.186879774360167505e-01,-1.745329251994329478e-01,1.745329251510753799e-01,2.500000000000000139e-02,-1.499999999999999944e-02
1.500000000000000222e-01,1.067585518049284643e-01,-6.664742940241671909e-02,-1.754560665443633538e-01,1.769284955031202033e-01,-1.745329251797411718e-01,1.381756942749228223e-01,2.500000000000000139e-02,-1.499999999999999944e-02
2.000000000000000111e-01,9.655681654695852378e-02,-5.667332477816079683e-02,-2.324945121128117742e-01,2.219419102832640711e-01,-1.745329251886079125e-01,-4.194903877559309768e-02,2.500000000000000139e-02,-1.499999999999999944e-02
2.500000000000000000e-01,8.352090948801083048e-02,-4.602976530719720544e-02,-2.888244147340751078e-01,2.038381851465736472e-01,-2.350230891020085172e-02,-8.665664496056738053e-02,2.500000000000000139e-02,-1.499999999999999944e-02
3.000000000000000444e-01,6.899571055692192700e-02,-3.667488402368909717e-02,-2.921765587839697531e-01,1.704266744254746835e-01,1.000874043591538642e-01,-8.692203813778734411e-02,2.500000000000000139e-02,-1.499999999999999944e-02
3.500000000000000333e-01,5.538048899538110248e-02,-2.898248673932211569e-02,-2.525149331537880903e-01,1.373381522791929099e-01,1.204701954593335039e-01,-7.461799535191740440e-02,2.500000000000000139e-02,-1.499999999999999944e-02
4.000000000000000222e-01,4.391271274200777425e-02,-2.282724631577069327e-02,-2.062924151632301306e-01,1.089306477442540250e-01,1.090538395758704066e-01,-6.046598574067017784e-02,2.500000000000000139e-02,-1.499999999999999944e-02
4.500000000000000111e-01,3.464275371318720209e-02,-1.796038156303146616e-02,-1.645928212888700948e-01,8.579214820823238830e-02,9.015564823360350255e-02,-4.776612487237130722e-02,2.500000000000000139e-02,-1.499999999999999944e-02
5.000000000000000000e-01,2.728077648214582290e-02,-1.413262881458888023e-02,-1.299584238986592477e-01,6.735637010689535242e-02,7.176251878036113419e-02,-3.724804120780161182e-02,2.500000000000000139e-02,-1.499999999999999944e-02
