t,x,y,vx,vy,theta_x,theta_y,dist_x,dist_y
0.000000000000000000e+00,1.199999999999999956e-01,-8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.745329251994329478e-01,1.745329251994329478e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.184853455942036643e-01,-7.848534559420367041e-02,-6.046021578828616322e-02,6.046021578828616322e-02,-1.745323081153475897e-01,1.745329251994194586e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.139665010389731281e-01,-7.396649573820092416e-02,-1.201691711239461502e-01,1.201693827140160736e-01,-1.745329251994329478e-01,1.745329251532647397e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,1.064807849616504210e-01,-6.648076914761856526e-02,-1.791366214943507229e-01,1.791368304401761147e-01,-1.745329251849820351e-01,1.319182242960801332e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.606504715357720714e-02,-5.643234692370321937e-02,-2.373715664270815984e-01,2.227092813801646032e-01,-1.745329251929883529e-01,-4.558685034439079187e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,8.275568492929753772e-02,-4.576368616376889908e-02,-2.948831052585232926e-01,2.040759689299518342e-01,-3.872594990137089542e-03,-8.931398819369795739e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,6.806951906656093232e-02,-3.640140670490586011e-02,-2.925683517177309345e-01,1.704851911342897264e-01,1.083651262256721398e-01,-8.923870666878348790e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,5.447552038136356523e-02,-2.870755858751667527e-02,-2.512776191837519102e-01,1.373377915542035588e-01,1.249449032774699458e-01,-7.681494876022641749e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,4.307684191266036855e-02,-2.255277209008467107e-02,-2.047664191752610885e-01,1.089128876735814544e-01,1.123323432928449439e-01,-6.262050513176815880e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,3.388000946245418865e-02,-1.768687500948977476e-02,-1.631934902434872825e-01,8.577120801846713216e-02,9.313208072441242491e-02,-4.990581620813172581e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.658229622729303687e-02,-1.386013193820934825e-02,-1.287867208775299865e-01,6.733692010557404406e-02,7.473290258368291139e-02,-3.938298478245349371e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,2.083429352270992074e-02,-1.085767246112686810e-02,-1.011908794001872003e-01,5.279176179039704597e-02,5.913569436420691716e-02,-3.094471983963536024e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000888e-01,1.632175365018588217e-02,-8.504386972952970858e-03,-7.935620500550144563e-02,4.136346699794678922e-02,4.651127450300635013e-02,-2.426846899034209443e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,1.278418973222298673e-02,-6.660748101422980447e-03,-6.218213150453238969e-02,3.240076041481512736e-02,3.648739081923532690e-02,-1.901708068401823659e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,1.001262673007094657e-02,-5.216660645271714233e-03,-4.870845910247140198e-02,2.537737008733090271e-02,2.859306475740907086e-02,-1.489691661393836679e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,7.841732315181836055e-03,-4.085623879524399524e-03,-3.814931599792461409e-02,1.987556279221259700e-02,2.239724046882043615e-02,-1.166779718785724076e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,6.141483309770036543e-03,-3.199801655692813794e-03,-2.987787661113010251e-02,1.556630390210199909e-02,1.754132016408611536e-02,-9.138161833140555357e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,4.809884678362087371e-03,-2.506037662779470650e-03,-2.339956530501689780e-02,1.219128719194692394e-02,1.373760490003907500e-02,-7.156844233428391946e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,3.767011540907987902e-03,-1.962692633852845467e-03,-1.832593040521373132e-02,9.548020842615736678e-03,1.075865416986062154e-02,-5.605093151862017981e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000666e-01,2.950259143785135055e-03,-1.537153387696407834e-03,-1.435244368617240307e-02,7.477861891651154530e-03,8.425744032576903617e-03,-4.389798501959260926e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.310596547903515791e-03,-1.203877519729489812e-03,-1.124054336024667838e-02,5.856550603409006218e-03,6.598765779904135556e-03,-3.438010985515702056e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000044e+00,1.809625086803992849e-03,-9.428607133570722065e-04,-8.803392548201127016e-03,4.586767068729055707e-03,5.167977876526881273e-03,-2.692593462110236431e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,1.417272822337477863e-03,-7.384360158128128399e-04,-6.894674578656564447e-03,3.592292681995810054e-03,4.047446746526787986e-03,-2.108797937026354007e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000133e+00,1.109988678251050713e-03,-5.783333859925316595e-04,-5.399805536365212370e-03,2.813435152062528349e-03,3.169880905343360096e-03,-1.651578212648704969e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000178e+00,8.693282207821093326e-04,-4.529431371692547179e-04,-4.229051864699111957e-03,2.203445629129386664e-03,2.482600803851432204e-03,-1.293494541187327658e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+00,6.808462970440177803e-04,-3.547391362604496124e-04,-3.312135352742955844e-03,1.725709703523248088e-03,1.944335896185855070e-03,-1.013047834417865308e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,5.332298232218081859e-04,-2.778270512936380872e-04,-2.594019694158795908e-03,1.351553198145794173e-03,1.522776067474463074e-03,-7.934056604342193137e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000089e+00,4.176185834075701094e-04,-2.175905149293490607e-04,-2.031601618183744712e-03,1.058518752902203952e-03,1.192617105043451567e-03,-6.213848419778086538e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e+00,3.270733973422940946e-04,-1.704140486148194439e-04,-1.591123499273741767e-03,8.290180324836036400e-04,9.340415330407789802e-04,-4.866604324102256603e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.450000000000000178e+00,2.561596032369926911e-04,-1.334660574166965049e-04,-1.246146975505050278e-03,6.492760827735573857e-04,7.315288328596260530e-04,-3.811460640416579489e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,2.006208519939800463e-04,-1.045288736933209101e-04,-9.759659587548112983e-04,5.085045440670434881e-04,5.729236851653603507e-04,-2.985086050151332165e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.550000000000000044e+00,1.571236301467119169e-04,-8.186564943744153099e-05,-7.643637588644796102e-04,3.982541175849105709e-04,4.487062804004260191e-04,-2.337880346885374888e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000089e+00,1.230571752494891667e-04,-6.411610815212438936e-05,-5.986397000323124846e-04,3.119074251420693835e-04,3.514208677741026497e-04,-1.830997333057891819e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000133e+00,9.637677311368898043e-05,-5.021489914102446344e-05,-4.688467908588586836e-04,2.442818238288185328e-04,2.752282205489581940e-04,-1.434013194952726638e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,7.548103070538700874e-05,-3.932765369517992064e-05,-3.671946834890095252e-04,1.913183360592438011e-04,2.155551424514226251e-04,-1.123100410192998957e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000000e+00,5.911575811029581840e-05,-3.080090515706276357e-05,-2.875820820876289429e-04,1.498380239217450213e-04,1.688199707070784229e-04,-8.795975801773251563e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000044e+00,4.629869025716703993e-05,-2.412286698139063748e-05,-2.252305328111395928e-04,1.173511849120670986e-04,1.322175961478724523e-04,-6.888893440816210077e-05,0.000000000000000000e+00,0.000000000000000000e+00
